Time,sim_flow
2022-12-01 01:00:00,3.6
2022-12-01 02:00:00,3.49
2022-12-01 03:00:00,3.36
2022-12-01 04:00:00,3.2
2022-12-01 05:00:00,3.08
2022-12-01 06:00:00,3.08
2022-12-01 07:00:00,3.13
2022-12-01 08:00:00,3.17
2022-12-01 09:00:00,3.13
2022-12-01 10:00:00,3.09
2022-12-01 11:00:00,3.09
2022-12-01 12:00:00,2.99
2022-12-01 13:00:00,2.91
2022-12-01 14:00:00,2.93
2022-12-01 15:00:00,2.86
2022-12-01 16:00:00,2.76
2022-12-01 17:00:00,2.62
2022-12-01 18:00:00,2.53
2022-12-01 19:00:00,2.45
2022-12-01 20:00:00,2.31
2022-12-01 21:00:00,2.23
2022-12-01 22:00:00,2.16
2022-12-01 23:00:00,2.11
2022-12-02 00:00:00,2.07
2022-12-02 01:00:00,2.03
2022-12-02 02:00:00,2.0
2022-12-02 03:00:00,1.98
2022-12-02 04:00:00,1.98
2022-12-02 05:00:00,2.01
2022-12-02 06:00:00,2.03
2022-12-02 07:00:00,2.04
2022-12-02 08:00:00,2.06
2022-12-02 09:00:00,2.08
2022-12-02 10:00:00,2.1
2022-12-02 11:00:00,2.1
2022-12-02 12:00:00,2.1
2022-12-02 13:00:00,2.06
2022-12-02 14:00:00,2.04
2022-12-02 15:00:00,2.03
2022-12-02 16:00:00,2.04
2022-12-02 17:00:00,2.02
2022-12-02 18:00:00,2.0
2022-12-02 19:00:00,1.97
2022-12-02 20:00:00,1.92
2022-12-02 21:00:00,1.87
2022-12-02 22:00:00,1.84
2022-12-02 23:00:00,1.82
2022-12-03 00:00:00,1.8
2022-12-03 01:00:00,1.8
2022-12-03 02:00:00,1.8
2022-12-03 03:00:00,1.79
2022-12-03 04:00:00,1.79
2022-12-03 05:00:00,1.79
2022-12-03 06:00:00,1.83
2022-12-03 07:00:00,1.81
2022-12-03 08:00:00,1.8
2022-12-03 09:00:00,1.8
2022-12-03 10:00:00,1.84
2022-12-03 11:00:00,1.84
2022-12-03 12:00:00,1.87
2022-12-03 13:00:00,1.94
2022-12-03 14:00:00,1.94
2022-12-03 15:00:00,1.96
2022-12-03 16:00:00,2.06
2022-12-03 17:00:00,2.49
2022-12-03 18:00:00,2.9
2022-12-03 19:00:00,3.58
2022-12-03 20:00:00,4.16
2022-12-03 21:00:00,4.14
2022-12-03 22:00:00,4.07
2022-12-03 23:00:00,4.0
2022-12-04 00:00:00,4.16
2022-12-04 01:00:00,4.25
2022-12-04 02:00:00,4.34
2022-12-04 03:00:00,4.23
2022-12-04 04:00:00,4.13
2022-12-04 05:00:00,4.02
2022-12-04 06:00:00,3.76
2022-12-04 07:00:00,3.55
2022-12-04 08:00:00,3.37
2022-12-04 09:00:00,3.2
2022-12-04 10:00:00,3.1
2022-12-04 11:00:00,3.04
2022-12-04 12:00:00,3.0
2022-12-04 13:00:00,2.99
2022-12-04 14:00:00,2.9
2022-12-04 15:00:00,2.83
2022-12-04 16:00:00,2.71
2022-12-04 17:00:00,2.6
2022-12-04 18:00:00,2.49
2022-12-04 19:00:00,2.39
2022-12-04 20:00:00,2.3
2022-12-04 21:00:00,2.23
2022-12-04 22:00:00,2.18
2022-12-04 23:00:00,2.12
2022-12-05 00:00:00,2.07
2022-12-05 01:00:00,2.02
2022-12-05 02:00:00,1.98
2022-12-05 03:00:00,1.95
2022-12-05 04:00:00,1.92
2022-12-05 05:00:00,1.89
2022-12-05 06:00:00,1.87
2022-12-05 07:00:00,1.88
2022-12-05 08:00:00,1.86
2022-12-05 09:00:00,1.88
2022-12-05 10:00:00,1.86
2022-12-05 11:00:00,1.88
2022-12-05 12:00:00,1.88
2022-12-05 13:00:00,1.89
2022-12-05 14:00:00,1.91
2022-12-05 15:00:00,1.94
2022-12-05 16:00:00,1.99
2022-12-05 17:00:00,2.01
2022-12-05 18:00:00,1.99
2022-12-05 19:00:00,1.97
2022-12-05 20:00:00,1.94
2022-12-05 21:00:00,1.92
2022-12-05 22:00:00,1.9
2022-12-05 23:00:00,1.88
2022-12-06 00:00:00,1.87
2022-12-06 01:00:00,1.87
2022-12-06 02:00:00,1.87
2022-12-06 03:00:00,1.87
2022-12-06 04:00:00,1.88
2022-12-06 05:00:00,1.88
2022-12-06 06:00:00,1.88
2022-12-06 07:00:00,1.87
2022-12-06 08:00:00,1.88
2022-12-06 09:00:00,1.89
2022-12-06 10:00:00,1.9
2022-12-06 11:00:00,1.9
2022-12-06 12:00:00,1.9
2022-12-06 13:00:00,1.91
2022-12-06 14:00:00,1.94
2022-12-06 15:00:00,1.94
2022-12-06 16:00:00,1.93
2022-12-06 17:00:00,1.95
2022-12-06 18:00:00,1.93
2022-12-06 19:00:00,1.92
2022-12-06 20:00:00,1.91
2022-12-06 21:00:00,1.9
2022-12-06 22:00:00,1.92
2022-12-06 23:00:00,1.93
2022-12-07 00:00:00,1.94
2022-12-07 01:00:00,1.95
2022-12-07 02:00:00,2.0
2022-12-07 03:00:00,2.0
2022-12-07 04:00:00,2.1
2022-12-07 05:00:00,2.26
2022-12-07 06:00:00,2.42
2022-12-07 07:00:00,3.15
2022-12-07 08:00:00,3.72
2022-12-07 09:00:00,4.37
2022-12-07 10:00:00,4.93
2022-12-07 11:00:00,5.47
2022-12-07 12:00:00,5.98
2022-12-07 13:00:00,6.55
2022-12-07 14:00:00,7.29
2022-12-07 15:00:00,8.22
2022-12-07 16:00:00,8.7
2022-12-07 17:00:00,8.89
2022-12-07 18:00:00,9.62
2022-12-07 19:00:00,9.66
2022-12-07 20:00:00,9.57
2022-12-07 21:00:00,9.43
2022-12-07 22:00:00,9.31
2022-12-07 23:00:00,9.22
2022-12-08 00:00:00,9.17
2022-12-08 01:00:00,9.04
2022-12-08 02:00:00,8.89
2022-12-08 03:00:00,8.85
2022-12-08 04:00:00,8.74
2022-12-08 05:00:00,8.64
2022-12-08 06:00:00,8.58
2022-12-08 07:00:00,8.54
2022-12-08 08:00:00,8.3
2022-12-08 09:00:00,8.09
2022-12-08 10:00:00,8.07
2022-12-08 11:00:00,7.65
2022-12-08 12:00:00,7.37
2022-12-08 13:00:00,7.1
2022-12-08 14:00:00,7.02
2022-12-08 15:00:00,6.65
2022-12-08 16:00:00,6.19
2022-12-08 17:00:00,5.74
2022-12-08 18:00:00,5.14
2022-12-08 19:00:00,4.68
2022-12-08 20:00:00,4.2
2022-12-08 21:00:00,3.8
2022-12-08 22:00:00,3.53
2022-12-08 23:00:00,3.36
2022-12-09 00:00:00,3.35
2022-12-09 01:00:00,3.23
2022-12-09 02:00:00,3.27
2022-12-09 03:00:00,3.16
2022-12-09 04:00:00,3.09
2022-12-09 05:00:00,3.04
2022-12-09 06:00:00,3.0
2022-12-09 07:00:00,2.97
2022-12-09 08:00:00,2.96
2022-12-09 09:00:00,2.93
2022-12-09 10:00:00,2.91
2022-12-09 11:00:00,2.89
2022-12-09 12:00:00,2.91
