gage	nwm30_link	name
16010000	800007054	Kawaikoi Stream nr Waimea, Kauai, HI
16019000	800011545	Waialae Str at alt 3,820 ft nr Waimea, Kauai, HI
16031000	800000146	Waimea River near Waimea, Kauai, HI
16060000	800000661	SF Wailua River nr Lihue, Kauai, HI
16068000	800007408	EB of NF Wailua River nr Lihue, Kauai, HI
16071500	800009690	Left Branch Opaekaa Str nr Kapaa, Kauai, HI
16097500	800016340	Halaulani Str at alt 400 ft nr Kilauea, Kauai, HI
16103000	800000482	Hanalei River nr Hanalei, Kauai, HI
16108000	800004830	Wainiha River nr Hanalei, Kauai, HI
16200000	800010025	NF Kaukonahua Str abv RB, nr Wahiawa, Oahu, HI
16208000	800003241	SF Kaukonahua Str at E pump, nr Wahiawa, Oahu, HI
16210200	800003179	Kaukonahua Stream blw Wahiawa Reservoir, Oahu, HI
16211600	800007563	Makaha Str nr Makaha, Oahu, HI
16212480	800012126	Honouliuli Stream Tributary near Waipahu, Oahu, HI
16212490	800005442	Honouliuli Str at H-1 Freeway nr Waipahu, Oahu, HI
16213000	800005477	Waikele Str at Waipahu, Oahu, HI
16226200	800007811	N. Halawa Str nr Honolulu, Oahu, HI
16226400	800001052	N. Halawa Str nr Quar. Stn. at Halawa, Oahu, HI
16227500	800010123	Moanalua Stream nr Kaneohe, Oahu, HI
16229000	800015722	Kalihi Str nr Honolulu, Oahu, HI
16238000	800014526	Makiki Stream at King St. bridge, Oahu, HI
16238500	800005663	Waihi Stream at Honolulu, Oahu, HI
16240500	800005664	Waiakeakua Str at Honolulu, Oahu, HI
16241600	800004522	Manoa Stream at Woodlawn Drive, Oahu, HI
16244000	800005662	Pukele Stream near Honolulu, Oahu, HI
16247100	800005649	Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI
16249000	800014583	Waimanalo Str at Waimanalo, Oahu, HI
16254000	800014566	Makawao Str nr Kailua, Oahu, HI
16265000	800016809	Kawa Str at Kaneohe, Oahu, HI
16274100	800005674	Kaneohe Str blw Kamehameha Hwy, Oahu, HI
16275000	800016796	Heeia Stream at Haiku Valley nr Kaneohe, Oahu, HI
16283200	800012331	Kahaluu Str nr Ahuimanu, Oahu, HI
16284200	800007876	Waihee Str nr Kahaluu, Oahu, HI
16294100	800014523	Waiahole Stream above Kamehameha Hwy, Oahu, HI
16294900	800007879	Waikane Str at alt 75 ft at Waikane, Oahu, HI
16296500	800001111	Kahana Str at alt 30 ft nr Kahana, Oahu, HI
16301050	800003355	Punaluu Str abv Punaluu Ditch Intake, Oahu, HI
16304200	800005569	Kaluanui Stream nr Punaluu, Oahu, HI
16330000	800007679	Kamananui Str at Maunawai, Oahu, HI
16345000	800009962	Opaeula Str nr Wahiawa, Oahu, HI
16400000	800005961	Halawa Stream near Halawa, Molokai, HI
16414200	800010242	Kaunakakai Gulch at altitude 75 feet, Molokai, HI
16415600	800010289	Kawela Gulch near Moku, Molokai, HI
16501200	800008624	Oheo Gulch at dam near Kipahulu, Maui, HI
16508000	800015253	Hanawi Stream near Nahiku, Maui, HI
16518000	800015240	West Wailuaiki Stream near Keanae, Maui, HI
16552800	800006277	Waikamoi Str abv Kula PL intake nr Olinda, Maui,HI
16587000	800004018	Honopou Stream near Huelo, Maui, HI
16604500	800006088	Wailuku River at Kepaniwai Park, Maui, HI
16614000	800012766	Waihee Rv abv Waihee Dtch intk nr Waihee, Maui, HI
16618000	800001543	Kahakuloa Stream near Honokohau, Maui, HI
16620000	800000049	Honokohau Stream near Honokohau, Maui, HI
16704000	800015634	Wailuku River at Piihonua, HI
16717000	800008995	Honolii Stream nr Papaikou, HI
16720000	800001894	Kawainui Stream nr Kamuela, HI
16725000	800006488	Alakahi Stream near Kamuela, HI
16759600	800013069	Waiaha Stream at Holualoa, HI
16770500	800008811	Paauau Gulch at Pahala, HI
